
------------------------------------------------------------------------------
Elevation report for the watershed      24 February 2025 20.50

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3812
  Maximum elevation: 5595
     Mean elevation: 4035.18
 Standard deviation: 226.04

              Elevation          % area up to elevation    % area of watershed
                4025                    97.80                     0.08
                4026                    97.90                     0.09
                4027                    97.95                     0.06
                4028                    98.01                     0.06
                4029                    98.13                     0.12
                4030                    98.16                     0.03
                4031                    98.22                     0.05
                4032                    98.29                     0.07
                4033                    98.36                     0.08
                4034                    98.42                     0.06
                4035                    98.48                     0.05
                4036                    98.56                     0.08
                4037                    98.61                     0.05
                4038                    98.68                     0.07
                4039                    98.75                     0.07
                4040                    98.79                     0.04
                4041                    98.86                     0.07
                4042                    98.93                     0.07
                4043                    98.97                     0.04
                4044                    99.00                     0.03
                4045                    99.05                     0.05
                4046                    99.07                     0.03
                4047                    99.10                     0.03
                4048                    99.12                     0.02
                4049                    99.16                     0.04
                4050                    99.17                     0.02
                4051                    99.21                     0.03
                4052                    99.23                     0.02
                4053                    99.25                     0.02
                4054                    99.27                     0.03
                4055                    99.30                     0.03
                4056                    99.33                     0.03
                4057                    99.35                     0.02
                4058                    99.37                     0.02
                4059                    99.38                     0.02
                4060                    99.39                     0.01
                4061                    99.40                     0.01
                4062                    99.41                     0.01
                4063                    99.42                     0.01
                4064                    99.43                     0.01
                4065                    99.44                     0.01
                4066                    99.47                     0.03
                4067                    99.49                     0.02
                4068                    99.51                     0.02
                4069                    99.52                     0.01
                4070                    99.53                     0.01
                4071                    99.56                     0.02
                4072                    99.57                     0.02
                4073                    99.59                     0.02
                4074                    99.61                     0.02
                4075                    99.62                     0.01
                4076                    99.63                     0.01
                4077                    99.63                     0.01
                4078                    99.65                     0.02
                4079                    99.66                     0.01
                4080                    99.68                     0.02
                4081                    99.69                     0.02
                4082                    99.71                     0.01
                4083                    99.71                     0.01
                4084                    99.72                     0.01
                4085                    99.73                     0.01
                4086                    99.75                     0.02
                4087                    99.76                     0.01
                4088                    99.78                     0.02
                4089                    99.79                     0.01
                4090                    99.80                     0.01
                4091                    99.80                     0.01
                4092                    99.80                     0.00
                4093                    99.82                     0.02
                4094                    99.84                     0.02
                4095                    99.85                     0.01
                4096                    99.85                     0.01
                4097                    99.87                     0.02
                4098                    99.87                     0.00
                4099                    99.88                     0.01
                4100                    99.89                     0.01
                4101                    99.89                     0.00
                4102                    99.90                     0.01
                4103                    99.90                     0.00
                4104                    99.91                     0.00
                4105                    99.92                     0.01
                4106                    99.93                     0.01
                4107                    99.94                     0.02
                4108                    99.94                     0.00
                4109                    99.95                     0.00
                4110                    99.96                     0.01
                4111                    99.97                     0.01
                4112                    99.97                     0.01
                4113                    99.97                     0.00
                4114                    99.97                     0.00
                4115                    99.97                     0.00
                4116                    99.98                     0.01
                4117                    99.98                     0.00
                4118                    99.99                     0.00
                4119                    99.99                     0.00
                4120                    99.99                     0.00
                4121                   100.00                     0.00
                4122                   100.00                     0.00
                4123                   100.00                     0.00
                4124                   100.00                     0.00
                4125                   100.00                     0.00

------------------------------------------------------------------------------
Subbasin 11

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3852
  Maximum elevation: 4286
     Mean elevation: 3950.81
 Standard deviation: 90.00

              Elevation          % area up to elevation    % area of subbasin
                3852                     0.00                     0.00
                3853                     0.02                     0.02
                3854                     0.06                     0.04
                3855                     0.16                     0.10
                3856                     0.36                     0.20
                3857                     0.70                     0.35
                3858                     1.21                     0.50
                3859                     1.92                     0.71
                3860                     2.94                     1.02
                3861                     3.93                     0.99
                3862                     4.98                     1.05
                3863                     6.08                     1.11
                3864                     7.52                     1.44
                3865                     9.29                     1.77
                3866                    10.88                     1.59
                3867                    12.46                     1.58
                3868                    14.10                     1.64
                3869                    15.81                     1.71
                3870                    17.58                     1.77
                3871                    19.05                     1.46
                3872                    20.28                     1.23
                3873                    21.47                     1.20
                3874                    22.48                     1.01
                3875                    23.39                     0.91
                3876                    24.27                     0.88
                3877                    25.14                     0.87
                3878                    25.92                     0.78
                3879                    26.71                     0.79
                3880                    27.43                     0.73
                3881                    28.06                     0.63
                3882                    28.73                     0.67
                3883                    29.50                     0.76
                3884                    30.15                     0.66
                3885                    30.77                     0.62
                3886                    31.41                     0.64
                3887                    31.96                     0.55
                3888                    32.57                     0.61
                3889                    33.13                     0.55
                3890                    33.63                     0.50
                3891                    34.13                     0.50
                3892                    34.64                     0.51
                3893                    35.19                     0.55
                3894                    35.66                     0.47
                3895                    36.13                     0.46
                3896                    36.67                     0.54
                3897                    37.20                     0.53
                3898                    37.70                     0.50
                3899                    38.15                     0.46
                3900                    38.58                     0.43
                3901                    39.03                     0.45
                3902                    39.46                     0.42
                3903                    39.96                     0.50
                3904                    40.43                     0.47
                3905                    40.86                     0.43
                3906                    41.29                     0.42
                3907                    41.75                     0.46
                3908                    42.20                     0.45
                3909                    42.64                     0.45
                3910                    43.12                     0.47
                3911                    43.62                     0.50
                3912                    44.16                     0.54
                3913                    44.70                     0.54
                3914                    45.29                     0.59
                3915                    45.72                     0.44
                3916                    46.14                     0.41
                3917                    46.56                     0.42
                3918                    46.97                     0.41
                3919                    47.35                     0.39
                3920                    47.75                     0.39
                3921                    48.19                     0.44
                3922                    48.65                     0.46
                3923                    49.04                     0.39
                3924                    49.46                     0.42
                3925                    49.85                     0.40
                3926                    50.27                     0.42
                3927                    50.69                     0.42
                3928                    51.08                     0.39
                3929                    51.54                     0.46
                3930                    51.98                     0.44
                3931                    52.39                     0.41
                3932                    52.89                     0.50
                3933                    53.34                     0.45
                3934                    53.72                     0.38
                3935                    54.14                     0.43
                3936                    54.58                     0.43
                3937                    54.99                     0.42
                3938                    55.39                     0.40
                3939                    55.80                     0.41
                3940                    56.14                     0.34
                3941                    56.53                     0.40
                3942                    56.95                     0.41
                3943                    57.37                     0.42
                3944                    57.77                     0.40
                3945                    58.20                     0.43
                3946                    58.58                     0.38
                3947                    58.94                     0.36
                3948                    59.32                     0.38
                3949                    59.64                     0.32
                3950                    60.02                     0.38
                3951                    60.43                     0.41
                3952                    60.76                     0.34
                3953                    61.07                     0.31
                3954                    61.49                     0.41
                3955                    61.87                     0.39
                3956                    62.25                     0.38
                3957                    62.65                     0.39
                3958                    63.01                     0.37
                3959                    63.45                     0.44
                3960                    63.89                     0.44
                3961                    64.29                     0.40
                3962                    64.75                     0.45
                3963                    65.21                     0.46
                3964                    65.67                     0.46
                3965                    66.10                     0.43
                3966                    66.57                     0.46
                3967                    66.96                     0.40
                3968                    67.41                     0.45
                3969                    67.86                     0.45
                3970                    68.39                     0.53
                3971                    68.83                     0.44
                3972                    69.23                     0.41
                3973                    69.63                     0.40
                3974                    70.06                     0.43
                3975                    70.46                     0.40
                3976                    70.96                     0.50
                3977                    71.37                     0.41
                3978                    71.78                     0.41
                3979                    72.19                     0.40
                3980                    72.57                     0.39
                3981                    72.97                     0.40
                3982                    73.37                     0.40
                3983                    73.72                     0.35
                3984                    74.13                     0.41
                3985                    74.43                     0.30
                3986                    74.73                     0.30
                3987                    75.04                     0.31
                3988                    75.35                     0.32
                3989                    75.59                     0.24
                3990                    75.86                     0.27
                3991                    76.11                     0.25
                3992                    76.33                     0.22
                3993                    76.55                     0.22
                3994                    76.83                     0.28
                3995                    77.09                     0.26
                3996                    77.32                     0.23
                3997                    77.52                     0.20
                3998                    77.80                     0.28
                3999                    78.04                     0.24
                4000                    78.25                     0.21
                4001                    78.53                     0.28
                4002                    78.79                     0.26
                4003                    79.02                     0.24
                4004                    79.27                     0.24
                4005                    79.51                     0.24
                4006                    79.73                     0.22
                4007                    79.95                     0.21
                4008                    80.15                     0.21
                4009                    80.35                     0.20
                4010                    80.60                     0.25
                4011                    80.75                     0.16
                4012                    80.98                     0.22
                4013                    81.18                     0.21
                4014                    81.35                     0.17
                4015                    81.53                     0.18
                4016                    81.71                     0.18
                4017                    81.92                     0.21
                4018                    82.11                     0.19
                4019                    82.32                     0.21
                4020                    82.48                     0.16
                4021                    82.67                     0.18
                4022                    82.84                     0.18
                4023                    83.00                     0.15
                4024                    83.16                     0.16
                4025                    83.32                     0.16
                4026                    83.46                     0.14
                4027                    83.57                     0.11
                4028                    83.69                     0.12
                4029                    83.82                     0.13
                4030                    83.96                     0.14
                4031                    84.12                     0.16
                4032                    84.26                     0.14
                4033                    84.41                     0.15
                4034                    84.54                     0.13
                4035                    84.65                     0.12
                4036                    84.80                     0.15
                4037                    84.95                     0.16
                4038                    85.10                     0.15
                4039                    85.22                     0.12
                4040                    85.35                     0.13
                4041                    85.47                     0.12
                4042                    85.58                     0.11
                4043                    85.67                     0.09
                4044                    85.75                     0.08
                4045                    85.84                     0.09
                4046                    85.93                     0.08
                4047                    86.00                     0.08
                4048                    86.08                     0.08
                4049                    86.17                     0.09
                4050                    86.22                     0.05
                4051                    86.32                     0.09
                4052                    86.37                     0.05
                4053                    86.44                     0.07
                4054                    86.51                     0.07
                4055                    86.62                     0.11
                4056                    86.72                     0.10
                4057                    86.79                     0.07
                4058                    86.88                     0.09
                4059                    86.94                     0.06
                4060                    87.04                     0.09
                4061                    87.11                     0.07
                4062                    87.17                     0.06
                4063                    87.26                     0.09
                4064                    87.33                     0.07
                4065                    87.40                     0.07
                4066                    87.49                     0.09
                4067                    87.59                     0.09
                4068                    87.67                     0.08
                4069                    87.76                     0.09
                4070                    87.85                     0.09
                4071                    87.93                     0.08
                4072                    88.03                     0.10
                4073                    88.11                     0.08
                4074                    88.22                     0.11
                4075                    88.30                     0.08
                4076                    88.40                     0.09
                4077                    88.48                     0.08
                4078                    88.55                     0.07
                4079                    88.63                     0.08
                4080                    88.75                     0.12
                4081                    88.84                     0.09
                4082                    88.91                     0.07
                4083                    89.00                     0.09
                4084                    89.12                     0.12
                4085                    89.20                     0.07
                4086                    89.28                     0.08
                4087                    89.37                     0.09
                4088                    89.45                     0.07
                4089                    89.52                     0.07
                4090                    89.59                     0.08
                4091                    89.69                     0.09
                4092                    89.78                     0.09
                4093                    89.88                     0.11
                4094                    89.98                     0.09
                4095                    90.05                     0.07
                4096                    90.15                     0.10
                4097                    90.28                     0.12
                4098                    90.37                     0.10
                4099                    90.48                     0.10
                4100                    90.56                     0.09
                4101                    90.66                     0.09
                4102                    90.74                     0.08
                4103                    90.82                     0.08
                4104                    90.91                     0.09
                4105                    91.00                     0.09
                4106                    91.06                     0.07
                4107                    91.16                     0.10
                4108                    91.24                     0.07
                4109                    91.35                     0.11
                4110                    91.44                     0.09
                4111                    91.54                     0.10
                4112                    91.63                     0.09
                4113                    91.75                     0.12
                4114                    91.85                     0.10
                4115                    91.94                     0.09
                4116                    92.03                     0.09
                4117                    92.15                     0.12
                4118                    92.24                     0.08
                4119                    92.34                     0.11
                4120                    92.44                     0.09
                4121                    92.53                     0.09
                4122                    92.63                     0.11
                4123                    92.76                     0.13
                4124                    92.87                     0.11
                4125                    92.98                     0.12
                4126                    93.08                     0.09
                4127                    93.16                     0.09
                4128                    93.25                     0.09
                4129                    93.34                     0.09
                4130                    93.44                     0.10
                4131                    93.53                     0.09
                4132                    93.64                     0.11
                4133                    93.74                     0.10
                4134                    93.84                     0.11
                4135                    93.96                     0.12
                4136                    94.04                     0.08
                4137                    94.12                     0.08
                4138                    94.22                     0.09
                4139                    94.30                     0.08
                4140                    94.37                     0.07
                4141                    94.42                     0.06
                4142                    94.52                     0.09
                4143                    94.59                     0.07
                4144                    94.67                     0.08
                4145                    94.74                     0.07
                4146                    94.82                     0.08
                4147                    94.88                     0.06
                4148                    94.97                     0.09
                4149                    95.06                     0.08
                4150                    95.10                     0.04
                4151                    95.14                     0.04
                4152                    95.20                     0.05
                4153                    95.27                     0.07
                4154                    95.33                     0.06
                4155                    95.38                     0.05
                4156                    95.45                     0.06
                4157                    95.53                     0.08
                4158                    95.60                     0.07
                4159                    95.66                     0.06
                4160                    95.72                     0.06
                4161                    95.77                     0.06
                4162                    95.85                     0.07
                4163                    95.95                     0.10
                4164                    96.02                     0.08
                4165                    96.10                     0.08
                4166                    96.17                     0.07
                4167                    96.24                     0.07
                4168                    96.29                     0.05
                4169                    96.34                     0.05
                4170                    96.40                     0.06
                4171                    96.47                     0.07
                4172                    96.54                     0.08
                4173                    96.60                     0.05
                4174                    96.67                     0.08
                4175                    96.73                     0.06
                4176                    96.77                     0.04
                4177                    96.83                     0.06
                4178                    96.90                     0.07
                4179                    96.96                     0.07
                4180                    97.02                     0.06
                4181                    97.08                     0.06
                4182                    97.14                     0.06
                4183                    97.22                     0.07
                4184                    97.26                     0.05
                4185                    97.32                     0.06
                4186                    97.34                     0.02
                4187                    97.41                     0.06
                4188                    97.44                     0.03
                4189                    97.50                     0.06
                4190                    97.53                     0.03
                4191                    97.57                     0.04
                4192                    97.64                     0.07
                4193                    97.70                     0.06
                4194                    97.74                     0.04
                4195                    97.80                     0.06
                4196                    97.85                     0.05
                4197                    97.89                     0.04
                4198                    97.93                     0.05
                4199                    97.98                     0.05
                4200                    98.02                     0.04
                4201                    98.06                     0.03
                4202                    98.11                     0.05
                4203                    98.17                     0.06
                4204                    98.21                     0.05
                4205                    98.24                     0.03
                4206                    98.27                     0.03
                4207                    98.31                     0.04
                4208                    98.34                     0.03
                4209                    98.39                     0.06
                4210                    98.43                     0.04
                4211                    98.47                     0.04
                4212                    98.50                     0.03
                4213                    98.53                     0.03
                4214                    98.56                     0.03
                4215                    98.59                     0.03
                4216                    98.64                     0.05
                4217                    98.68                     0.04
                4218                    98.70                     0.03
                4219                    98.74                     0.03
                4220                    98.77                     0.03
                4221                    98.80                     0.03
                4222                    98.83                     0.03
                4223                    98.87                     0.04
                4224                    98.90                     0.03
                4225                    98.93                     0.03
                4226                    98.98                     0.05
                4227                    99.01                     0.03
                4228                    99.03                     0.02
                4229                    99.07                     0.04
                4230                    99.12                     0.04
                4231                    99.15                     0.03
                4232                    99.16                     0.02
                4233                    99.22                     0.05
                4234                    99.25                     0.03
                4235                    99.27                     0.02
                4236                    99.31                     0.04
                4237                    99.33                     0.02
                4238                    99.35                     0.02
                4239                    99.39                     0.04
                4240                    99.41                     0.03
                4241                    99.44                     0.03
                4242                    99.46                     0.02
                4243                    99.49                     0.03
                4244                    99.51                     0.02
                4245                    99.53                     0.02
                4246                    99.55                     0.01
                4247                    99.57                     0.03
                4248                    99.60                     0.03
                4249                    99.63                     0.02
                4250                    99.65                     0.02
                4251                    99.66                     0.02
                4252                    99.68                     0.02
                4253                    99.70                     0.02
                4254                    99.73                     0.02
                4255                    99.74                     0.01
                4256                    99.75                     0.02
                4257                    99.77                     0.01
                4258                    99.77                     0.01
                4259                    99.79                     0.02
                4260                    99.82                     0.03
                4261                    99.84                     0.02
                4262                    99.84                     0.01
                4263                    99.85                     0.01
                4264                    99.86                     0.00
                4265                    99.86                     0.01
                4266                    99.88                     0.02
                4267                    99.89                     0.01
                4268                    99.90                     0.01
                4269                    99.91                     0.01
                4270                    99.92                     0.01
                4271                    99.93                     0.01
                4272                    99.93                     0.01
                4273                    99.94                     0.01
                4274                    99.96                     0.01
                4275                    99.96                     0.01
                4276                    99.97                     0.01
                4277                    99.97                     0.01
                4278                    99.98                     0.01
                4279                    99.99                     0.01
                4280                    99.99                     0.00
                4281                    99.99                     0.01
                4282                    99.99                     0.00
                4283                    99.99                     0.00
                4284                   100.00                     0.00
                4285                   100.00                     0.00
                4286                   100.00                     0.00

------------------------------------------------------------------------------
Subbasin 12

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3842
  Maximum elevation: 3972
     Mean elevation: 3864.21
 Standard deviation: 11.59

              Elevation          % area up to elevation    % area of subbasin
                3842                     0.01                     0.01
                3843                     0.09                     0.07
                3844                     0.31                     0.22
                3845                     0.96                     0.65
                3846                     1.96                     1.00
                3847                     3.41                     1.45
                3848                     5.31                     1.90
                3849                     7.19                     1.87
                3850                     8.77                     1.58
                3851                    10.58                     1.82
                3852                    12.31                     1.73
                3853                    14.26                     1.95
                3854                    15.81                     1.55
                3855                    17.36                     1.55
                3856                    18.89                     1.54
                3857                    20.53                     1.64
                3858                    22.66                     2.13
                3859                    25.58                     2.92
                3860                    29.45                     3.87
                3861                    35.13                     5.68
                3862                    42.42                     7.29
                3863                    49.56                     7.14
                3864                    56.94                     7.38
                3865                    64.58                     7.63
                3866                    71.84                     7.26
                3867                    77.59                     5.76
                3868                    82.05                     4.46
                3869                    85.28                     3.23
                3870                    87.59                     2.30
                3871                    88.69                     1.11
                3872                    89.51                     0.81
                3873                    90.07                     0.56
                3874                    90.66                     0.59
                3875                    91.13                     0.47
                3876                    91.45                     0.32
                3877                    92.07                     0.62
                3878                    92.58                     0.50
                3879                    92.94                     0.37
                3880                    93.34                     0.40
                3881                    93.80                     0.46
                3882                    94.14                     0.34
                3883                    94.39                     0.25
                3884                    94.79                     0.40
                3885                    95.13                     0.34
                3886                    95.44                     0.31
                3887                    95.65                     0.21
                3888                    95.94                     0.30
                3889                    96.25                     0.31
                3890                    96.44                     0.19
                3891                    96.66                     0.22
                3892                    96.97                     0.31
                3893                    97.12                     0.15
                3894                    97.34                     0.22
                3895                    97.46                     0.12
                3896                    97.56                     0.10
                3897                    97.73                     0.16
                3898                    97.79                     0.06
                3899                    97.85                     0.06
                3900                    98.01                     0.16
                3901                    98.13                     0.12
                3902                    98.26                     0.13
                3903                    98.33                     0.07
                3904                    98.42                     0.09
                3905                    98.49                     0.07
                3906                    98.60                     0.10
                3907                    98.72                     0.12
                3908                    98.85                     0.13
                3909                    99.04                     0.19
                3910                    99.08                     0.04
                3911                    99.20                     0.12
                3912                    99.26                     0.06
                3913                    99.31                     0.04
                3914                    99.35                     0.04
                3915                    99.39                     0.04
                3916                    99.42                     0.03
                3917                    99.45                     0.03
                3918                    99.45                     0.00
                3919                    99.47                     0.01
                3920                    99.50                     0.03
                3921                    99.50                     0.00
                3922                    99.50                     0.00
                3923                    99.50                     0.00
                3924                    99.51                     0.01
                3925                    99.56                     0.04
                3926                    99.59                     0.03
                3927                    99.62                     0.03
                3928                    99.69                     0.07
                3929                    99.70                     0.01
                3930                    99.73                     0.03
