
------------------------------------------------------------------------------
Elevation report for the watershed      24 February 2025 20.50

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3812
  Maximum elevation: 5595
     Mean elevation: 4035.18
 Standard deviation: 226.04

              Elevation          % area up to elevation    % area of watershed
                4263                    87.27                     0.05
                4264                    87.32                     0.04
                4265                    87.36                     0.04
                4266                    87.41                     0.05
                4267                    87.46                     0.05
                4268                    87.51                     0.05
                4269                    87.55                     0.05
                4270                    87.60                     0.05
                4271                    87.65                     0.05
                4272                    87.70                     0.05
                4273                    87.74                     0.05
                4274                    87.79                     0.05
                4275                    87.83                     0.04
                4276                    87.87                     0.04
                4277                    87.92                     0.05
                4278                    87.96                     0.04
                4279                    88.00                     0.04
                4280                    88.05                     0.04
                4281                    88.09                     0.04
                4282                    88.13                     0.04
                4283                    88.17                     0.04
                4284                    88.21                     0.04
                4285                    88.25                     0.04
                4286                    88.29                     0.04
                4287                    88.34                     0.04
                4288                    88.38                     0.04
                4289                    88.42                     0.04
                4290                    88.46                     0.04
                4291                    88.50                     0.04
                4292                    88.55                     0.05
                4293                    88.59                     0.04
                4294                    88.64                     0.04
                4295                    88.68                     0.05
                4296                    88.73                     0.04
                4297                    88.77                     0.04
                4298                    88.82                     0.05
                4299                    88.87                     0.05
                4300                    88.91                     0.04
                4301                    88.95                     0.04
                4302                    88.98                     0.03
                4303                    89.02                     0.04
                4304                    89.06                     0.04
                4305                    89.10                     0.04
                4306                    89.14                     0.04
                4307                    89.18                     0.04
                4308                    89.22                     0.04
                4309                    89.26                     0.04
                4310                    89.30                     0.04
                4311                    89.34                     0.04
                4312                    89.38                     0.04
                4313                    89.42                     0.04
                4314                    89.46                     0.04
                4315                    89.49                     0.03
                4316                    89.54                     0.04
                4317                    89.58                     0.04
                4318                    89.61                     0.04
                4319                    89.66                     0.04
                4320                    89.69                     0.04
                4321                    89.74                     0.04
                4322                    89.77                     0.03
                4323                    89.80                     0.03
                4324                    89.84                     0.03
                4325                    89.87                     0.04
                4326                    89.91                     0.03
                4327                    89.95                     0.04
                4328                    89.99                     0.04
                4329                    90.03                     0.04
                4330                    90.07                     0.04
                4331                    90.11                     0.03
                4332                    90.14                     0.04
                4333                    90.18                     0.04
                4334                    90.22                     0.03
                4335                    90.25                     0.03
                4336                    90.29                     0.04
                4337                    90.32                     0.03
                4338                    90.36                     0.04
                4339                    90.40                     0.04
                4340                    90.43                     0.03
                4341                    90.46                     0.04
                4342                    90.50                     0.04
                4343                    90.53                     0.03
                4344                    90.57                     0.03
                4345                    90.61                     0.04
                4346                    90.64                     0.03
                4347                    90.68                     0.04
                4348                    90.71                     0.03
                4349                    90.74                     0.03
                4350                    90.78                     0.04
                4351                    90.82                     0.04
                4352                    90.85                     0.03
                4353                    90.88                     0.03
                4354                    90.92                     0.04
                4355                    90.95                     0.03
                4356                    90.98                     0.03
                4357                    91.01                     0.03
                4358                    91.04                     0.03
                4359                    91.07                     0.03
                4360                    91.10                     0.03
                4361                    91.13                     0.03
                4362                    91.16                     0.03
                4363                    91.19                     0.03
                4364                    91.23                     0.03
                4365                    91.26                     0.03
                4366                    91.29                     0.03
                4367                    91.32                     0.03
                4368                    91.35                     0.03
                4369                    91.38                     0.03
                4370                    91.42                     0.03
                4371                    91.45                     0.03
                4372                    91.48                     0.03
                4373                    91.51                     0.03
                4374                    91.54                     0.03
                4375                    91.57                     0.03
                4376                    91.60                     0.02
                4377                    91.63                     0.03
                4378                    91.66                     0.03
                4379                    91.68                     0.03
                4380                    91.71                     0.03
                4381                    91.74                     0.03
                4382                    91.77                     0.03
                4383                    91.80                     0.03
                4384                    91.83                     0.03
                4385                    91.86                     0.03
                4386                    91.88                     0.03
                4387                    91.91                     0.03
                4388                    91.94                     0.03
                4389                    91.97                     0.03
                4390                    91.99                     0.03
                4391                    92.02                     0.02
                4392                    92.05                     0.03
                4393                    92.08                     0.03
                4394                    92.10                     0.03
                4395                    92.13                     0.03
                4396                    92.16                     0.03
                4397                    92.18                     0.03
                4398                    92.21                     0.03
                4399                    92.24                     0.03
                4400                    92.26                     0.03
                4401                    92.29                     0.03
                4402                    92.32                     0.02
                4403                    92.35                     0.03
                4404                    92.37                     0.03
                4405                    92.40                     0.03
                4406                    92.43                     0.03
                4407                    92.45                     0.02
                4408                    92.48                     0.03
                4409                    92.50                     0.03
                4410                    92.53                     0.02
                4411                    92.56                     0.03
                4412                    92.58                     0.02
                4413                    92.61                     0.02
                4414                    92.63                     0.03
                4415                    92.65                     0.02
                4416                    92.68                     0.02
                4417                    92.70                     0.02
                4418                    92.73                     0.02
                4419                    92.75                     0.02
                4420                    92.78                     0.03
                4421                    92.80                     0.02
                4422                    92.82                     0.02
                4423                    92.84                     0.02
                4424                    92.87                     0.03
                4425                    92.89                     0.02
                4426                    92.92                     0.03
                4427                    92.94                     0.02
                4428                    92.97                     0.03
                4429                    92.99                     0.03
                4430                    93.02                     0.02
                4431                    93.04                     0.03
                4432                    93.07                     0.02
                4433                    93.09                     0.03
                4434                    93.11                     0.02
                4435                    93.14                     0.02
                4436                    93.16                     0.02
                4437                    93.18                     0.02
                4438                    93.20                     0.02
                4439                    93.22                     0.02
                4440                    93.25                     0.03
                4441                    93.27                     0.02
                4442                    93.29                     0.02
                4443                    93.31                     0.02
